rho,iter,conv,bound,wmax,xerr,xbar
1.0,2,1465.1110614061452,-112385.55555555553,91.49999953988291,40.166666274048936,87.0000000635 283.16666621 129.833333726
1.0,3,741.5308515718294,-112385.55555555553,113.6111111132447,42.33333299235359,100.222221332 272.11111166 127.666667008
1.0,4,711.7246046419634,-111913.02457609959,136.20370390779135,42.249999807314694,99.657406897 272.59259291 127.750000193
1.0,5,642.8818377746754,-110093.24074023962,160.41049411288716,41.083333223989314,96.8765430185 274.206790205 128.916666776
1.0,6,640.966343640582,-109499.23182644763,184.7001032187241,39.958333171722984,95.6687240644 274.289609107 130.041666828
1.0,7,640.7641454746665,-108927.29882834478,208.56772984850082,39.41666629386003,95.5490396448 273.867626649 130.583333706
1.0,8,306.59320373390676,-108927.29882834478,221.90900760627216,29.05867023628636,95.7173924168 263.341277819 140.941329764
1.0,9,62.226477742675186,-108927.29882834478,224.84608822158515,17.171058036090415,94.2339773723 252.937080664 152.828941964
1.0,10,45.12612502157848,-108927.29882834478,218.6597713935366,13.922521222360501,93.9225212224 243.813683188 162.26379559
1.0,11,102.20007788267435,-108927.29882834478,207.53786932120812,12.890297514427346,92.8902975144 238.878098108 168.231604377
1.0,12,85.94780363456383,-108927.29882834478,196.83286714881325,10.705002130678878,89.1818476431 239.294997869 171.523154488
1.0,13,35.28169274128646,-108927.29882834478,189.9741313331958,6.858735782489305,83.7587158498 243.141264218 173.100019933
1.0,14,4.784095126847312,-108740.1593990466,187.6884144324119,3.8974024220241574,78.388314439 247.714283139 173.897402422
1.0,15,15.332079056967467,-108740.1593990466,188.04960126727903,4.273508396931845,75.7264916031 250.361186835 173.912321562
1.0,16,15.57212531894822,-108626.80884894493,188.89910641486355,4.122205734623833,75.8777942654 250.849505148 173.272700587
1.0,17,4.967218303727371,-108468.45123493025,189.129171370928,2.4242970269481674,77.5757029731 250.230065012 172.194232015
1.0,18,0.27355818754162686,-108468.45123493025,188.74852312278924,0.9298035537802036,79.4508446497 249.619351796 170.929803554
1.0,19,0.6945895822174745,-108468.45123493025,188.3086130553556,0.7187642353335377,80.7187642353 249.560089968 169.721145797
1.0,20,1.2334091639024036,-108468.45123493025,188.3069453656563,1.2412613445726208,81.2412613446 249.998332341 168.760406314
1.0,21,1.2288158268703342,-108468.45123493025,188.8919549033782,1.8336109870258497,81.2486014187 250.585009568 168.166389013
1.0,22,1.2286746404420057,-108468.45123493025,189.8824029857363,2.0230235885160823,81.0325754728 250.990448116 167.976976411
1.0,23,1.0617192848594368,-108425.5246521206,190.949085648405,1.8436968441237696,80.7770141438 251.0666827 168.156303156
1.0,24,0.6253871798101609,-108420.66354627698,191.79793927142956,1.3869751042428788,80.5381214387 250.848853666 168.613024896
1.0,25,0.19404672928240407,-108420.66354627698,192.2684937756679,0.7752111606986318,80.3046566099 250.470554551 169.224788839
1.0,26,0.005621078182417288,-108420.66354627698,192.3418626545442,0.13620604221603116,80.0628371139 250.073368928 169.863793958
1.0,27,0.05529024487985418,-108420.66354627698,192.09615441901857,0.4189992018548878,79.8267089831 249.754291815 170.418999202
1.0,28,0.20074117123842472,-108420.66354627698,191.65139432145006,0.811837012780046,79.6329230342 249.555239953 170.811837013
1.0,29,0.30320206409050693,-108420.66354627698,191.1287091915256,1.003895667051097,79.5187894135 249.477314919 171.003895667
