rho,iter,conv,wmax,xerr,xbar
1.0,61,0.016283773588095112,190.64367214310042,0.061063465589001,79.9694681769 249.969468347 170.061063466
1.0,62,0.011525595174875194,190.6220616719898,0.04322030646508779,79.978389508 249.978390175 170.043220306
1.0,63,0.005639519059057661,190.6114877171683,0.0211475269582877,79.989425774 249.989426688 170.021147527
1.0,64,0.00020545913237570958,190.6118730965204,0.0007711395726914816,80.0003851083 250.00038602 169.99922886
1.0,65,0.005042026878238441,190.62132697741606,0.018908270639087732,80.009453739 250.009454521 169.981091729
1.0,66,0.00823215935270759,190.63676229180126,0.030871272123079052,80.0154353071 250.015435954 169.969128728
1.0,67,0.009518575287272155,190.65460960056154,0.03569533803863578,80.0178473779 250.017847949 169.964304662
1.0,68,0.009004159636458238,190.67149237499558,0.03376628574361007,80.0168828587 250.016883416 169.966233714
1.0,69,0.007074788162645025,190.68475758919786,0.02653114826989622,80.01326528 250.013265857 169.973468852
1.0,70,0.0042878495201108535,190.6927973063344,0.016080132345450693,80.0080397596 250.008040362 169.983919868
1.0,71,0.0012507616301746793,190.6951424906805,0.004691054765487479,80.0023452136 250.00234583 169.995308945
1.0,72,0.0014886028325867705,190.69235136756248,0.005581561979454364,79.9972089036 249.997209524 170.005581562
1.0,73,0.003523304249764831,190.68574517747984,0.013211694006656671,79.9933938382 249.993394457 170.013211694
1.0,74,0.004631670334246805,190.67706079976293,0.01736806968392557,79.9913156503 249.991316269 170.01736807
1.0,75,0.004783363456515606,190.66809199818368,0.017936922239073283,79.9910312221 249.991031845 170.017936922
1.0,76,0.004112547660925416,190.6603809784828,0.015421366155237592,79.9922889971 249.992289626 170.015421366
1.0,77,0.002868110917306568,190.65500328017725,0.010754730828779202,79.9946223118 249.994622947 170.010754731
1.0,78,0.001353063099413829,190.6524662981715,0.005073302988193973,79.997463024 249.997463662 170.005073303
1.0,79,0.00013498597939568904,190.65271940852023,0.0005068806427459549,80.0002531158 250.000253754 169.999493119
1.0,80,0.0013525281451747004,190.65525540961966,0.005072664296676521,80.002536009 250.002536644 169.994927336
1.0,81,0.0021417245456202888,190.65927115250935,0.008032152026885342,80.0040157549 250.004016386 169.991967848
1.0,82,0.0024424338220762187,190.66385072369744,0.009159813417966234,80.0045795878 250.004580215 169.990840187
1.0,83,0.0022859526761780874,190.6681368913757,0.008573010774398426,80.0042861884 250.004286812 169.991426989
1.0,84,0.0017745600153094504,190.67146419687182,0.006655289718082713,80.0033273291 250.00332795 169.99334471
1.0,85,0.0010526400623468311,190.67343790197498,0.003948090888400202,80.0019737303 250.00197435 169.996051909
1.0,86,0.00027560075374487444,190.67395465831586,0.0010341939519662446,80.0005167818 250.000517401 169.998965806
1.0,87,0.00041786485804588364,190.67317116691825,0.0015663021376042252,79.9992165333 249.999217154 170.001566302
1.0,88,0.0009261082700662529,190.67143471964664,0.0034722154020983,79.9982635758 249.998264198 170.003472215
1.0,89,0.0011952928145685998,190.66919355200244,0.004481658189149584,79.9977588534 249.997759477 170.004481658
1.0,90,0.0012203977556500452,190.66690531324912,0.004575802568183462,79.9977117803 249.997712406 170.004575803
1.0,91,0.0010379190528908566,190.66495922262,0.003891508227752638,79.9980539267 249.998054554 170.003891508
1.0,92,0.0007128672262142447,190.66362260454633,0.0026725644933662807,79.9986633981 249.998664027 170.002672564
1.0,93,0.00032317982977758675,190.6630166505075,0.0012112371206285388,79.9993940616 249.99939469 170.001211237
1.0,94,5.542264514859754e-05,190.66312057606697,0.00020852206691301944,80.0001039413 250.00010457 169.999791478
1.0,95,0.00036168733018371313,190.6637987477007,0.0013570147825419099,80.000678188 250.000678816 169.998642985
1.0,96,0.0005566265018993969,190.6648424299669,0.002088036998912912,80.0010436996 250.001044327 169.997911963
1.0,97,0.0006263046571098761,190.66601675842625,0.0023493304958321914,80.0011743469 250.001174973 169.99765067
1.0,98,0.0005799857064958916,190.66710423853627,0.002175634854211239,80.0010874995 250.001088125 169.997824365
